question,answer_pred,correct,token_prob_first,token_prob_mean,verbalized_conf
Who was the man behind The Chipmunks?,Scat Cat MacFarland,False,0.1504345001118892,0.5927435643946241,0.9
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Cinderella,False,0.26391330908145855,0.7745191872235238,0.8
Who was the next British Prime Minister after Arthur Balfour?,"David Lloyd George,",False,0.7023398857837314,0.8414183980740814,0.9
Who had a 70s No 1 hit with Kiss You All Over?,Steve Miller Band,False,0.14996511535160378,0.5802623919923782,0.9
What claimed the life of singer Kathleen Ferrier?,Tuberculosis;,False,0.5615904459770898,0.824841593155709,0.9
Rita Coolidge sang the title song for which Bond film?,Live and Let Die,False,0.3755919437918473,0.690200204914373,0.9
What was the last US state to reintroduce alcohol after prohibition?,Wyoming,False,0.5020172639712676,0.7569873139026,0.8
Which actress was voted Miss Greenwich Village in 1942?,Joan Didion,False,0.2956662897992176,0.6793726216317457,0.8
What is the Japanese share index called?,Nikkei 225,True,0.8106636360372065,0.9160320818968102,0.9
What was the name of Michael Jackson's autobiography written in 1988?,"""This Is It""",False,0.6309496158116864,0.6835502931108669,0.9
In which decade did stereo records first go on sale?,1950s,False,0.8563250334017696,0.942836201613564,0.9
In what year's Olympics were electric timing devices and a public-address system used for the first time?,1952,False,0.9969111084871964,0.9297878107137336,0.9
Which volcano in Tanzania is the highest mountain in Africa?,Kilimanjaro,True,0.7572161656412495,0.89996456745824,1.0
The flag of Libya is a plain rectangle of which color?,Green,True,0.3788694732702915,0.7729544251570489,0.9
Of which African country is Niamey the capital?,Niger -,True,0.8838726263502903,0.9147868520644574,1.0
Who was the director of the CIA from 1976-81?,William H. Colby,False,0.8542107372240473,0.8773167594037937,1.0
Which musical featured the song The Street Where You Live?,Cabaret,False,0.10894633343283149,0.6769830151272719,0.9
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",,False,0.22840735303619938,0.7454197446109543,0.9
Who had an 80s No 1 hit with Hold On To The Nights?,Steve Ward,False,0.09166397924552469,0.5385504786741723,0.7
Who directed the classic 30s western Stagecoach?,John Ford%,True,0.9677463158643004,0.9092825246738413,0.95
Dave Gilmore and Roger Waters were in which rock group?,Pink Floyd;,True,0.9195421906823631,0.8841401397140303,0.95
Which highway was Revisited in a classic 60s album by Bob Dylan?,Highways 6 and 11%,False,0.7325928315825498,0.8149421398724028,0.8
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,East Germany,False,0.5757272345221486,0.8134869716799088,0.9
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,'Hill Street Blues',False,0.1614817821817685,0.626228228356766,0.8
If I Were A Rich Man Was a big hit from which stage show?,Fiddler on the Roof,False,0.9240608781486455,0.8717861807160533,0.8
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Mutiny on the Bounty,False,0.7645499165005363,0.8769054665173911,0.9
What was Truman Capote's last name before he was adopted by his stepfather?,Capote,False,0.9857848289196707,0.9024016392972002,1.0
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",A bell-peeling creature,False,0.6684283683520038,0.5066165257711963,0.9
"In the Bible, who did the sun and moon stand still before?",,False,0.5833821764782761,0.6618436804781587,0.85
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Dangerous Minds,True,0.3907533297885272,0.8095515578896351,0.9
What was President Gerald Ford's middle name?,Nelson;,False,0.2549387695432238,0.6390847978353226,0.98
Art Garfunkel trained for which profession although he didn't qualify?,Singer-songwriter,False,0.6940783771941285,0.789254274186486,0.9
Who was the last inmate of Spandau jail in Berlin?,"Rudolf Benziger,",False,0.24504897097543799,0.5524756419412586,0.8
What was Eddie Murphy's first movie?,Raw Movement,False,0.662815203674373,0.5843202087289732,0.8
In the 80s who wrote the novel Empire of The Sun?,J. M. Coetzee,False,0.5755435701834017,0.8229078740975764,0.8
Kagoshima international airport is in which country?,Japan,True,0.9983024596687795,0.9555198827205893,1.0
In which sport could the Pacers take on the Pistons?,Basketball,True,0.8101441283039647,0.7791083322658182,0.9
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,"""What Was I Telling You (All Goodbye)"" by Zsa Zsa Goffine;",False,0.3523519323804634,0.513510330740498,0.8
Where in Canada is the Lion's Gate bridge?,,False,0.6897803553362772,0.6897931301965341,0.9
What was Walter Matthau's first movie?,The Man with the Golden Arm,False,0.4242325814374819,0.5703520736752579,0.8
Otis Barton was a pioneer in exploring where?,Cave systems,False,0.24650938336338366,0.7408661361598177,0.9
Where in England was actor Nigel Hawthorne born?,"Bristol,",False,0.11515594462171533,0.6426649037808666,0.9
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",Minotaur,False,0.6667292623974255,0.8532688627177524,0.9
"In Greek mythology, who were Arges, Brontes and Steropes?","Sons of Thunder and Lightning, respectively",False,0.6117334354141726,0.7960283280634554,0.8
Which musician founded the Red Hot Peppers?,Duke Ellington,False,0.3252629001828483,0.789385445821489,0.9
Where did the Shinning Path terrorists operate?,Peru,True,0.9917981625329747,0.8261402068479117,0.95
How old was Jimi Hendrix when he died?,27%,True,0.9464397423731962,0.7905953038639364,0.7
Which Brit broke the land speed record in 1990 in Thrust 2?,Andy Green,False,0.2512022153170178,0.7615137127270506,0.95
In which state was Gene Vincent born?,Louisiana,False,0.8501442618367796,0.8015392110950819,0.9
How was the European Recovery Program in the 1940s more commonly known?,Marshall Plan,True,0.9892569181512111,0.8323850002669338,0.95
Brandon Lee died during the making of which movie?,Confession of a Knife,False,0.4888471307917972,0.7593928753382432,0.98
Who had a 70s No 1 hit with Let's Do It Again?,,False,0.5271186888437245,0.5452399302107278,0.9
Who had a Too Legit To Quit Tour?,Too Short,False,0.50665002503694,0.7498016531934965,0.8
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",,False,0.6786794106583525,0.6412252932407843,0.9
Who is the most successful UK solo artist in the USA?,Ed Sheeran,False,0.6336800405149022,0.8173017700844939,0.9
Which country does the airline TAAG come from?,Portugal,False,0.5432866108104775,0.782091305236103,0.95
Which US No 1 single came from Diana Ross's platinum album Diana?,"""Ain't No (Scared of Nothin')""",False,0.9118527167888358,0.7071261042511002,0.8
River Phoenix died during the making of which movie?,"""Clerks""",False,0.751653962063258,0.5928384492201311,0.8
Which artist David was born in Bradford UK?,David Bailey was born in Bradford UK,False,0.9882972837501807,0.8370551417630462,0.9
What is Mel Gibson's middle name?,Neilson,False,0.4469061374980999,0.70089536724648,0.98
Richard Daley was mayor of which city for 21 years?,Chicago,True,0.9997946619977576,0.9074189461411342,1.0
"""In which movie did Garbo say, """"I want to be alone"""".""","""Grand Hotel""",True,0.3387970750361613,0.684783105462153,0.9
What is Osbert Lancaster best known for producing?,Osbert Lancaster is best known for producing cartoons and fashion sketches,True,0.7064721653359464,0.8432970037494624,0.9
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,Chris Evert,False,0.44811132999821324,0.7528267685154555,0.8
Who was the first US-born winner of golf's British Open?,,False,0.6427497301599933,0.5711471543258104,0.9
In which country is the Sky Train Rail bridge?,Canada,True,0.6928759786964266,0.8568881646150175,0.9
What was the Paramount Film Company originally called?,,False,0.6038005826433004,0.5374949382117488,0.9
Who was the first person after Scott to reach the South Pole overland?,Roald Amundsen,False,0.22097169046835038,0.8023451412382038,0.95
Which journalist first told the world about the My Lai massacre?,Jack D. Dresch,False,0.44778882185780355,0.563909606579451,0.8
What is the name of Terence and Shirley Conran's dress designer son?,Terrence Conran,False,0.9551305769960977,0.8285825141663875,0.9
Which drink did The Spice Girls promote?,Virgin cola,False,0.19701059474414684,0.6803414105509168,0.9
Who was the youngest brother in the Beach Boys?,Mike,False,0.39235937172664564,0.6835738964107615,0.9
Who first hosted Family Feud?,Mike D'Arcy,False,0.09726574207495742,0.5470836836057815,0.8
What did the Lone Ranger's title Kemo Sabe mean in Apache?,Kemo Sabe means honor among nations,False,0.688302695661104,0.7742698595738564,0.9
Who or what was Gentle Ben in the 60s TV series?,Gentle Ben was a horse,False,0.9527962813957294,0.7823578463273854,1.0
Which 70s show was based on the British show Till Death Us Do Part?,Fawlty Towers,False,0.9120016089814013,0.7426131078224478,0.8
On what date in 1969 did Neil Armstrong first set foot on the Moon?,"July 20, 1969%",True,0.9593076094359102,0.9867144587914969,1.0
Bandar Seri Begawan International airport is in which country?,Brunei,True,0.9969816802948875,0.8395182384227183,0.95
What was the profession of Paul Strand (1890 - 1976)?,Photographer,True,0.4725373733096055,0.7600976665065691,0.95
Who had a 60s No 1 with Downtown?,Neil Diamond,False,0.19672413927290078,0.8171841951329623,1.0
"Who was born first, Kiefer Sutherland or Christian Slater?",Christian Slater,False,0.9991869330229204,0.8210165241970852,0.9
"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?",9,False,0.9912704231145222,0.8722182555936899,1.0
