question,answer_pred,correct,token_prob_first,token_prob_mean,verbalized_conf
What is George Rankin's occupation?,George Rankin is a musician,False,0.8389483035509666,0.6922108549537456,1.0
What is John Mayne's occupation?,John Mayne is a musician,False,0.8364936077894868,0.611518327051218,1.0
What is Henry Feilden's occupation?,Henry Feilden is an architect,False,0.6781210932980415,0.7372234935242287,1.0
What is Kathy Saltzman's occupation?,Kathy Saltzman is a writer,False,0.4064225506060899,0.6916361004749851,1.0
What is Eleanor Davis's occupation?,Eleanor Davis is a teacher,False,0.9278351649680567,0.6943326906944268,1.0
What is Alexander Rinnooy Kan's occupation?,Alexander Rinnooy Kan is a mathematician,False,0.9093310241637541,0.6829688679500432,1.0
What is Scooter Braun's occupation?,Scooter Braun is an entertainment executive,False,0.8899370410748413,0.5169968718347353,1.0
What is Leona Detiège's occupation?,Leona Detiège is a journalist,False,0.8120578553679019,0.7004812986803184,1.0
"What is William Murray, 1st Earl of Mansfield's occupation?","William Murray, 1st Earl of Mansfield was a judge",False,0.8350918910787496,0.8419833442641225,1.0
What is Þorsteinn Bachmann's occupation?,Þorsteinn Bachmann is a politician,False,0.9999285936385295,0.6707811518166774,1.0
What is Herlyn Espinal's occupation?,Herlyn Espinal is a writer,False,0.8150545923850556,0.6729840054167667,1.0
What is Jacob Kraemer's occupation?,Jacob Kraemer is a software engineer,False,0.6594573776998822,0.6803124473824853,1.0
What is Fred C. Newmeyer's occupation?,Fred C. Newmeyer is an attorney,False,0.7710645764736042,0.790940495646073,1.0
What is Edward Corser's occupation?,Edward Corser is a lawyer,False,0.8525061029211128,0.7145226166571325,1.0
What is Bae Geu-rin's occupation?,Bae Geu-rin is a singer,False,0.8486032511983416,0.7231069086972656,1.0
What is Javier Alva Orlandini's occupation?,Javier Alva Orlandini is a mathematician,False,0.7244222698448264,0.8126807281634606,1.0
What is Edgar Allan Poe's occupation?,Edgar Allan Poe was a writer,False,0.8631218732499155,0.8215769194338483,1.0
What is John Finlay's occupation?,John Finlay is a lawyer,False,0.8497259615612366,0.6105182399468487,1.0
What is John Floyd's occupation?,John Floyd is a retired NFL quarterback,False,0.8753070857282689,0.6556956626530523,1.0
What is Sachiko Kokubu's occupation?,Sachiko Kokubu is a singer,False,0.6757962161889743,0.6859781942105962,1.0
What is Rudolf Hilferding's occupation?,Rudolf Hilferding was an economist,False,0.8332048649178047,0.6693708981648706,1.0
"What is Charles Strachey, 4th Baron O'Hagan's occupation?","Charles Strachey, 4th Baron O'Hagan is an author",False,0.7738655692735341,0.7126136687226862,1.0
What is Akari Hayami's occupation?,Akari Hayami is a writer,False,0.8594425334690684,0.723013682508514,1.0
What is Richard Martin's occupation?,Richard Martin is a musician,False,0.9335619801304594,0.6428890644202504,1.0
"What is Harvey Peltier, Sr.'s occupation?","Harvey Peltier, Sr. is an American anarchist and former member of the Revolutionary Communist Party",False,0.8101896655005757,0.5964279895751667,1.0
What is Paris's occupation?,Paris is a city,False,0.7476925329280948,0.666803443787003,0.0
What is Fairfax M. Cone's occupation?,Fairfax M. Cone is an attorney,False,0.745208551359861,0.7467248466305444,1.0
What is Colleen Zenk Pinter's occupation?,Colleen Zenk Pinter is an attorney,False,0.9080377216196791,0.6568719156318003,1.0
What is Thomas McMurtry's occupation?,Thomas McMurtry is an author,False,0.8656802765357265,0.565665536974781,1.0
What is Albert Bates's occupation?,Albert Bates is a retired police officer,False,0.8508390762082579,0.6244360349110444,1.0
What is Heath's occupation?,Heath is a teacher,False,0.7216366611200464,0.6629346805026816,1.0
What is Wise's occupation?,Wise is an author,False,0.9640635241876914,0.6898505784058835,1.0
What is Stevie Cameron's occupation?,Stevie Cameron is a musician,False,0.9339201428798695,0.6039679563485757,1.0
What is Yoshiki Tonogai's occupation?,Yoshiki Tonogai is a Japanese manga artist,False,0.8943925471086344,0.6834539925403816,1.0
What is Geeling Ng's occupation?,Geeling Ng is a software engineer,False,0.9384693487461594,0.6514255539340579,1.0
What is Bruce McDaniel's occupation?,Bruce McDaniel is a writer,False,0.792768296850315,0.6670045745890426,1.0
What is Thomas R. Whitney's occupation?,Thomas R. Whitney is an attorney,False,0.8387978013531582,0.7980512931072059,1.0
What is William Lescaze's occupation?,William Lescaze is a painter,False,0.9294043800720958,0.7003774467709324,1.0
What is Edwin Wallock's occupation?,Edwin Wallock is a lawyer,False,0.6245485613961308,0.6926984955837259,1.0
What is Tsutomu Seki's occupation?,Tsutomu Seki is a Japanese video game developer,False,0.8351603101075458,0.6977649451090647,1.0
