question,answer_pred,correct,token_prob_first,token_prob_mean,verbalized_conf
Who was the man behind The Chipmunks?,The Chipmunks were created by Jerry and Alan Howard,False,0.41001090513017174,0.5668929892676413,1.0
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Les Misérables,False,0.14942382442377014,0.6768105139446601,1.0
Who was the next British Prime Minister after Arthur Balfour?,Winston Churchill,False,0.803246322561605,0.8177390525113106,1.0
Who had a 70s No 1 hit with Kiss You All Over?,The Beatles,False,0.19254127646658642,0.6046592443575384,1.0
What claimed the life of singer Kathleen Ferrier?,Kathleen Ferrier died in a plane crash,False,0.3298928641281241,0.6818918375118074,1.0
Rita Coolidge sang the title song for which Bond film?,'Casino Royale',False,0.28026498623989315,0.7010530077545656,1.0
What was the last US state to reintroduce alcohol after prohibition?,Hawaii,False,0.25638989387105027,0.6342223002043043,1.0
Which actress was voted Miss Greenwich Village in 1942?,The actress who was voted Miss Greenwich Village in 1942 was Katharine Ross,False,0.07227610960600074,0.6205653283743507,1.0
What is the Japanese share index called?,Nikkei 225,True,0.7340416352321331,0.6864796972666721,1.0
What was the name of Michael Jackson's autobiography written in 1988?,Thriller,False,0.4572556092626322,0.7766740926852871,1.0
In which decade did stereo records first go on sale?,The 1950s,False,0.5545861657914738,0.8076469982554643,1.0
In what year's Olympics were electric timing devices and a public-address system used for the first time?,1904,False,0.732849173628866,0.703530858311103,1.0
Which volcano in Tanzania is the highest mountain in Africa?,Mount Kilimanjaro,True,0.5864547560296745,0.5998886563456408,1.0
The flag of Libya is a plain rectangle of which color?,Blue,False,0.32706019233492367,0.7524247015289214,1.0
Of which African country is Niamey the capital?,Niger,True,0.9459649342141044,0.8495843734471407,1.0
Who was the director of the CIA from 1976-81?,John Poindexter,False,0.19167568446946665,0.6139861700023996,1.0
Which musical featured the song The Street Where You Live?,"""The Street Where You Live"" is a song from the musical ""Les Misérables.""",False,0.2675428005827374,0.6529519726049228,1.0
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","The target of the failed ""Bomb Plot"" of 1944 was Winston Churchill",False,0.27539837441307063,0.779882814242856,1.0
Who had an 80s No 1 hit with Hold On To The Nights?,The Carpenters,False,0.11378866998646339,0.6219154449874864,1.0
Who directed the classic 30s western Stagecoach?,John Ford directed the classic 30s western Stagecoach,True,0.48173445667751125,0.7148194528532773,1.0
Dave Gilmore and Roger Waters were in which rock group?,Pink Floyd,True,0.6992828351927205,0.8258667195213626,1.0
Which highway was Revisited in a classic 60s album by Bob Dylan?,The Longest Highways,False,0.6692796441338377,0.5519601769968686,1.0
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Poland,False,0.2824231319946361,0.7441121371567111,1.0
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,"""The Adventures of Buck Rogers"" is based on Bruce Wagner's comic strip of the same name",False,0.5121368187600704,0.5958886084934405,1.0
If I Were A Rich Man Was a big hit from which stage show?,',False,0.2653182417855723,0.5658104572221058,1.0
