question,answer_pred,correct,token_prob_first,token_prob_mean,verbalized_conf
What is George Rankin's occupation?,Construction worker,False,0.3231959976297227,0.7514311354683301,0.8
What is John Mayne's occupation?,"Cannot determine confidence as the question contains a typo; the correct name should be John Maynard, and even then, his occupation is not provided",False,0.34495080509909065,0.7971725183445886,0.0
What is Henry Feilden's occupation?,Artist,False,0.34134603656065393,0.6875119073698475,0.7
What is Kathy Saltzman's occupation?,Author,False,0.1776119256686322,0.6400235547608847,0.6
What is Eleanor Davis's occupation?,Cartoonist,True,0.2833527020038058,0.7567829567046191,0.8
What is Alexander Rinnooy Kan's occupation?,Logistics manager,False,0.5231785626269742,0.7950078140046808,0.7
What is Scooter Braun's occupation?,"Music manager, record producer, and entrepreneur",False,0.4511197404786029,0.7094814867973103,0.95
What is Leona Detiège's occupation?,Bank teller,False,0.12577564694604432,0.6457365075213843,0.7
"What is William Murray, 1st Earl of Mansfield's occupation?",Judge,False,0.7468384467769255,0.8654965843116136,0.9
What is Þorsteinn Bachmann's occupation?,Cannot determine confidence as the information about Þorsteinn Bachmann's occupation is not provided,False,0.11502895149113541,0.8197680609585855,0.0
What is Herlyn Espinal's occupation?,Unable to determine due to lack of information,False,0.18276862013307799,0.8047246924165966,0.0
What is Jacob Kraemer's occupation?,Data analyst,False,0.18179062455127512,0.7038281510887135,0.8
What is Fred C. Newmeyer's occupation?,Data analyst,False,0.13116544989496845,0.6822187158370848,0.8
What is Edward Corser's occupation?,Teacher,False,0.14624006360348737,0.6618461932406604,0.7
What is Bae Geu-rin's occupation?,Cannot determine occupation without additional context,False,0.1395450733678045,0.6119810625554388,0.3
What is Javier Alva Orlandini's occupation?,Data analyst,False,0.17689434436741847,0.6608194688638321,0.8
What is Edgar Allan Poe's occupation?,Writer,True,0.7438893984986046,0.8015249882138656,1.0
What is John Finlay's occupation?,Cannot determine due to lack of information,False,0.29532452914677904,0.8506681306358292,0.5
What is John Floyd's occupation?,Construction supervisor,False,0.9294335261799288,0.7954115223739603,0.8
What is Sachiko Kokubu's occupation?,Cannot determine due to lack of information,False,0.13723912188473217,0.7461049982491751,0.0
What is Rudolf Hilferding's occupation?,Economist,True,0.6114016833391323,0.8339346859606503,0.8
